,Location,Dis No,Lat,Long
474,Georgia,2002-0331-USA,32.75,-83.5
478,Claremont,2002-0618-USA,34.1,-117.72
479, Glendora,2002-0618-USA,34.14,-117.87
484,Alabama,2002-0502-USA,32.75,-86.75
485, district of Columbia,2002-0502-USA,38.92,-77
486, Illinois,2002-0502-USA,40,-89.25
487, Indiana,2002-0502-USA,40,-86.25
488, Louisiana,2002-0502-USA,31,-92
489, Mississippi,2002-0502-USA,32.75,-89.75
490, Texas,2002-0502-USA,31.25,-99.25
491, Florida,2002-0502-USA,28.75,-82.5
492, Massachusetts,2002-0502-USA,42.37,-71.11
493, Missouri,2002-0502-USA,38.25,-92.5
495, Ohio,2002-0502-USA,40.25,-83
496, Georgia,2002-0502-USA,32.75,-83.5
497, Kentucky,2002-0502-USA,-30.77,151.45
498, Maryland,2002-0502-USA,39,-76.75
499, Michigan,2002-0502-USA,44.25,-85.5
500, Nebraska,2002-0502-USA,41.5,-99.75
502, Tennessee,2002-0502-USA,35.75,-86.25
503, Texas,2002-0502-USA,31.25,-99.25
504, Virginia,2002-0502-USA,37.55,-77.45
505, Wisconsin,2002-0502-USA,44.5,-90
506,Alabama,2002-0858-USA,32.75,-86.75
507, California,2002-0858-USA,38.3,-76.51
508, Connecticut,2002-0858-USA,41.67,-72.67
509, Georgia,2002-0858-USA,32.75,-83.5
510, Hawaii,2002-0858-USA,20.75,-156.5
511, Illinois,2002-0858-USA,40,-89.25
512, Kansas,2002-0858-USA,38.5,-98.5
513, Maine,2002-0858-USA,45.5,-69.25
514, Massachusetts,2002-0858-USA,42.37,-71.11
515, Michigan,2002-0858-USA,44.25,-85.5
516, Missouri,2002-0858-USA,38.25,-92.5
517, Mississippi,2002-0858-USA,32.75,-89.75
518, Minnesota,2002-0858-USA,46.25,-94.25
519, New Jersey,2002-0858-USA,40.17,-74.5
520, New Mexico,2002-0858-USA,34.5,-106
521, North Carolina,2002-0858-USA,35.5,-80
522, New York,2002-0858-USA,40.71,-74.01
524, Rhode Island,2002-0858-USA,41.75,-71.5
525, Texas,2002-0858-USA,31.25,-99.25
526, Utah,2002-0858-USA,39.25,-111.75
527, Virginia,2002-0858-USA,37.55,-77.45
528, Wisconsin,2002-0858-USA,44.5,-90
529,Illinois,2002-9853-USA,40,-89.25
530, Indiana,2002-9853-USA,40,-86.25
531, Iowa,2002-9853-USA,42,-93.5
532, Kansas,2002-9853-USA,38.5,-98.5
533, Michigan,2002-9853-USA,44.25,-85.5
534, Minnesota,2002-9853-USA,46.25,-94.25
535, Missouri,2002-9853-USA,38.25,-92.5
536, Nebraska,2002-9853-USA,41.5,-99.75
537, North Dakota,2002-9853-USA,47.5,-100
538, Ohio,2002-9853-USA,40.25,-83
539, South Dakota,2002-9853-USA,44.5,-100.25
541,Cleveland,2002-0119-USA,41.5,-81.7
542, Comanche,2002-0119-USA,31.9,-98.6
544, Garvin,2002-0119-USA,39.72,-5.35
546, Greer,2002-0119-USA,34.94,-82.23
547, Harmon,2002-0119-USA,36.14,-99.56
548, Jackson,2002-0119-USA,32.3,-90.18
549, Kiowa,2002-0119-USA,37.02,-98.49
550, Lincoln,2002-0119-USA,40.8,-96.67
552, Nowata,2002-0119-USA,36.7,-95.64
554, Rogers,2002-0119-USA,36.33,-94.12
557, Tulsa,2002-0119-USA,36.15,-95.99
559, Beaver,2002-0119-USA,40.7,-80.3
561, Blaine,2002-0119-USA,45.16,-93.23
562, Caddo,2002-0119-USA,34.57,-87.14
563, Canadian,2002-0119-USA,35.91,-100.38
564, Cimarron,2002-0119-USA,37.81,-100.35
565, Custer,2002-0119-USA,43.77,-103.6
566, Dewey,2002-0119-USA,36.8,-95.94
567, Ellis,2002-0119-USA,38.94,-99.56
568, Garfield,2002-0119-USA,40.88,-74.11
569, Grant,2002-0119-USA,45.08,-92.91
570, Harper,2002-0119-USA,4.38,-7.72
572, Kingfisher,2002-0119-USA,35.86,-97.93
573, Logan,2002-0119-USA,41.74,-111.83
575, Noble,2002-0119-USA,35.14,-97.39
576, Oklahoma,2002-0119-USA,35.49,-97.5
577, Osage,2002-0119-USA,43.28,-92.81
578, Pawnee,2002-0119-USA,39.59,-89.58
579, Payne,2002-0119-USA,41.08,-84.73
581, Texas,2002-0119-USA,31.25,-99.25
582, Washington,2002-0119-USA,47.5,-120.5
586, Missouri,2002-0119-USA,38.25,-92.5
587, Kansas,2002-0119-USA,38.5,-98.5
588, New York,2002-0119-USA,40.71,-74.01
589, Indiana,2002-0119-USA,40,-86.25
591,Marin,2002-0793-USA,38.07,-122.73
592, Los Angeles,2002-0793-USA,34.05,-118.24
594, Oregon,2002-0793-USA,44,-120.5
596,Fulton,2002-0880-USA,33.77,-84.45
597, Tioga,2002-0880-USA,48.4,-102.94
598, Broome,2002-0880-USA,-17.97,122.23
599, Oswego,2002-0880-USA,41.68,-88.35
600, Delaware,2002-0880-USA,39,-75.5
603, Connecticut,2002-0880-USA,41.67,-72.67
604, Massachusetts,2002-0880-USA,42.37,-71.11
605, Michigan,2002-0880-USA,44.25,-85.5
606, New Hampshire,2002-0880-USA,43.67,-71.5
607, New Jersey,2002-0880-USA,40.17,-74.5
608, Ohio,2002-0880-USA,40.25,-83
610,Delaware,2003-0085-USA,39,-75.5
611, Kentucky,2003-0085-USA,-30.77,151.45
612, Massachusetts,2003-0085-USA,42.37,-71.11
613, Maryland,2003-0085-USA,39,-76.75
614, North Carolina,2003-0085-USA,35.5,-80
615, New Hampshire,2003-0085-USA,43.67,-71.5
616, New Jersey,2003-0085-USA,40.17,-74.5
617, New York,2003-0085-USA,40.71,-74.01
618, District of Columbia,2003-0085-USA,38.92,-77
619, Ohio,2003-0085-USA,40.25,-83
620, Pennsylvania,2003-0085-USA,40.27,-76.91
621, Rhode Island,2003-0085-USA,41.75,-71.5
622, Tennessee,2003-0085-USA,35.75,-86.25
623, Virginia,2003-0085-USA,37.55,-77.45
624, Vermont,2003-0085-USA,44,-72.75
625, West Virginia,2003-0085-USA,38.5,-80.5
626, Illinois,2003-0085-USA,40,-89.25
627, Missouri,2003-0085-USA,38.25,-92.5
628, Iowa,2003-0085-USA,42,-93.5
629, Nebraska,2003-0085-USA,41.5,-99.75
631,West Virginia,2003-0595-USA,38.5,-80.5
632, Tennessee,2003-0595-USA,35.75,-86.25
633, Kentucky,2003-0595-USA,-30.77,151.45
634, Pennsylvania,2003-0595-USA,40.27,-76.91
635, North Carolina,2003-0595-USA,35.5,-80
637,Mitchell,2003-0139-USA,43.71,-98.03
640, South Carolina,2003-0139-USA,34,-81
642,Alabama,2003-0829-USA,32.75,-86.75
643, Illinois,2003-0829-USA,40,-89.25
644, Indiana,2003-0829-USA,40,-86.25
645, Louisiana,2003-0829-USA,31,-92
